Page ID,UUID,Page Title,Page Notes,Page URL,Page Color,Page Color Hex,Title Tag,Meta Description
page_001,2a865987-2df3-43c4-a5a3-228aeccd64b9,A&A Baking Solutions ,,,colorD,#ffffff,,
page_001_001,c95cc697-e0be-4ce2-9153-8979c2dda864,Inicio,,,colorD,#ffffff,,
page_001_001_001,8da60871-d81b-4da5-8e6b-8d5f083c046a,Nosotros,,,colorD,#ffffff,,
page_001_001_001_001,4dff8a8b-99f4-4bd2-907d-ba98e16e3436,Propósito,,,colorD,#ffffff,,
page_001_001_001_002,d90f310d-d71a-400a-b1d5-14f8447d6796,Visión,,,colorD,#ffffff,,
page_001_001_002,4160832f-d24a-4c5f-a934-963f2add39bb,Asesoría,,,colorD,#ffffff,,
page_001_001_003,ee0d074c-3687-4a2b-b556-614c1b4d3981,Equipos,,,colorD,#ffffff,,
page_001_001_004,7e7aa392-a35c-4084-9658-1e7a5fdc5f97,"Equipos de panadería, maquinaria para panadería, horno para panadería, horno de panaderia, pan",,,colorD,#ffffff,,
page_001_002,8f784fd6-3273-44fd-8a34-e14532db1900,Equipos de panadería,,https://aabaking.com/equipos-panaderia.html,colorD,#ffffff,,
page_001_002_001,2b7cea7b-4add-4a73-b89b-a563052bd4b7,"Mezcladoras 
PMSP60",,,colorD,#ffffff,,
page_001_002_002,81706948-b1f8-4024-b13f-fda1d9e4c911,"DIVISORA
PMVD2000",,,colorD,#ffffff,,
page_001_002_003,8c9e02db-b7f0-4137-bd6d-99d2a701e32d,"BOLEADORA
PMCR2000",,,colorD,#ffffff,,
page_001_002_004,74547ab0-3204-46c1-8e5c-9500b43f8851,"FERMENTADOR
PMPI240",,,colorD,#ffffff,,
page_001_002_005,f3aa00a0-cf4d-4616-87a7-e5599fb0fd65,"FORMADORAS
MPDM400",,,colorD,#ffffff,,
page_001_002_006,7a09e0d7-4a16-4377-9e1c-f4a08c90c168,"HORNO
PMDF200",,,colorD,#ffffff,,
page_001_002_007,0491972e-9421-4a0b-a2a8-9bc3ea28c404,"TAJADORA
PMBS1500",,,colorD,#ffffff,,
page_001_003,9a386c1e-20fb-4837-ba5a-330631ecf37f,Videos,,https://aabaking.com/video.html,colorD,#ffffff,,
page_001_004,8aacaa88-585f-4ace-9801-d38450cd56fc,Contáctanos,,https://aabaking.com/contacto.html,colorD,#ffffff,,
page_001_005,4e1b5313-70e1-4a93-8d6c-d4698151a365,FAQ,,,colorD,#ffffff,,
page_001_006,d6754584-bf5a-4414-9177-8724665ee2a6,Blog,,,colorD,#ffffff,,
page_001_006_001,551a41bb-760d-41a1-ae1a-bb5e776a4e6b,Artículos Blog Baker  & Baker,,https://aabaking.com/blog-details.html,colorD,#ffffff,,
